doc term frequency weight
D1 research 2 0.1908
D1 success 1 0.1690
D1 apply 1 0.1690
D1 larg 1 0.0796
D1 langu 1 0.0954
D1 model 3 0.1806
D1 llms 2 0.1908
D1 chatgpt 1 0.1690
D1 rerank 5 0.8451
D1 inform 1 0.1204
D1 retriev 1 0.0685
D1 context 1 0.1204
D1 dat 1 0.0954
D1 work 2 0.2408
D1 most 1 0.1690
D1 built 1 0.1690
D1 propriet 1 0.1690
D1 hid 1 0.1690
D1 behind 2 0.3380
D1 opaqu 1 0.1690
D1 ap 1 0.1204
D1 endpoint 1 0.1690
D1 approach 1 0.0954
D1 yield 1 0.1204
D1 expery 2 0.1908
D1 result 2 0.1370
D1 reproduc 1 0.1690
D1 non-deterministic 1 0.1690
D1 threatening 1 0.1690
D1 verac 1 0.1690
D1 outcom 1 0.1690
D1 build 1 0.1690
D1 shaky 1 0.1690
D1 found 2 0.3380
D1 address 1 0.0796
D1 sign 1 0.0954
D1 shortcom 1 0.1690
D1 pres 1 0.1690
D1 rankvicun 1 0.1690
D1 first 1 0.1204
D1 ful 1 0.1204
D1 open-source 1 0.1690
D1 llm 1 0.0954
D1 cap 1 0.1204
D1 perform 1 0.0685
D1 high-quality 1 0.1690
D1 listw 1 0.1204
D1 zero-shot 2 0.2408
D1 set 1 0.1204
D1 trec 1 0.0796
D1 2019 1 0.1690
D1 2020 1 0.1690
D1 deep 1 0.0954
D1 learn 1 0.0796
D1 track 1 0.1690
D1 show 1 0.1204
D1 achiev 1 0.1690
D1 effect 2 0.1370
D1 comp 1 0.0796
D1 gpt-3.5 1 0.1690
D1 much 1 0.1690
D1 smal 1 0.1690
D1 7b 1 0.1690
D1 paramet 1 0.1690
D1 although 1 0.1690
D1 remain 1 0.1690
D1 slight 1 0.1690
D1 gpt-4 1 0.1690
D1 hop 1 0.1690
D1 provid 1 0.1690
D1 fut 1 0.1690
D1 modern 1 0.1690
D2 adv 1 0.1056
D2 transformer-based 3 0.3169
D2 architect 2 0.2113
D2 context 2 0.1505
D2 repres 4 0.3010
D2 text 4 0.4225
D2 dat 1 0.0596
D2 lev 1 0.0753
D2 query 8 0.3979
D2 docu 7 0.2996
D2 low-dimensional 1 0.1056
D2 dens 3 0.2258
D2 vect 5 0.5282
D2 spac 2 0.1505
D2 learn 2 0.0995
D2 embed 1 0.0596
D2 fix 1 0.1056
D2 siz 1 0.0753
D2 result 3 0.1284
D2 deep 3 0.1789
D2 understand 2 0.2113
D2 study 2 0.1505
D2 design 1 0.0753
D2 pipelin 1 0.1056
D2 effect 1 0.0428
D2 retriev 3 0.1284
D2 larg 1 0.0497
D2 search 1 0.0753
D2 combin 1 0.1056
D2 cap 1 0.0753
D2 bert 2 0.2113
D2 model 7 0.2634
D2 phrase 2 0.2113
D2 embedding-based 2 0.1505
D2 expand 2 0.1505
D2 fine-tuned 1 0.1056
D2 sem 2 0.1193
D2 match 2 0.1505
D2 sep 2 0.2113
D2 encod 2 0.1505
D2 bas 1 0.0596
D2 sent 1 0.1056
D2 sbert 1 0.1056
D2 gen 1 0.0753
D2 also 1 0.0497
D2 address 1 0.0497
D2 maxim 1 0.1056
D2 tok 1 0.0753
D2 leng 1 0.1056
D2 limit 1 0.0753
D2 summ 1 0.1056
D2 lengthy 1 0.1056
D2 addit 1 0.0596
D2 improv 1 0.0596
D2 clar 1 0.1056
D2 complet 1 0.1056
D2 short 1 0.1056
D2 reduc 1 0.0596
D2 gap 1 0.0753
D2 employ 1 0.1056
D2 index 1 0.0753
D2 us 2 0.0856
D2 elasticsearch 1 0.1056
D2 engin 1 0.1056
D2 query-specific 1 0.1056
D2 fin 2 0.2113
D2 bert-based 1 0.1056
D2 cross-encoder 1 0.1056
D2 re-rank 1 0.1056
D2 relev 1 0.0497
D2 record 1 0.1056
D2 perform 2 0.0856
D2 ful 1 0.0753
D2 self-attention 1 0.1056
D2 input 1 0.1056
D2 yield 1 0.0753
D2 rich 1 0.1056
D2 interact 1 0.0753
D2 produc 2 0.1505
D2 assess 1 0.1056
D2 expery 1 0.0596
D2 conduc 1 0.1056
D2 two 1 0.0753
D2 well-known 1 0.1056
D2 dataset 1 0.0428
D2 trec-cds-2014 1 0.1056
D2 ohsum 1 0.1056
D2 comp 1 0.0497
D2 analys 1 0.1056
D2 carry 1 0.1056
D2 clear 1 0.1056
D2 demonst 1 0.0497
D2 propos 1 0.0428
D2 framework 1 0.0596
D2 competit 1 0.1056
D3 sci 5 0.5282
D3 research 3 0.1789
D3 abl 1 0.1056
D3 effect 2 0.0856
D3 retriev 3 0.1284
D3 relev 3 0.1492
D3 docu 3 0.1284
D3 bas 1 0.0596
D3 complex 7 0.7395
D3 multifacet 2 0.2113
D3 query 8 0.3979
D3 crit 1 0.1056
D3 ex 1 0.0596
D3 evalu 2 0.1193
D3 dataset 6 0.2568
D3 task 3 0.2258
D3 limit 1 0.0753
D3 prim 1 0.1056
D3 due 2 0.2113
D3 high 1 0.0596
D3 cost 2 0.1505
D3 effort 1 0.1056
D3 requir 2 0.2113
D3 annot 6 0.6338
D3 resourc 1 0.1056
D3 repres 1 0.0753
D3 address 1 0.0497
D3 propos 1 0.0428
D3 novel 1 0.0753
D3 us 2 0.0856
D3 multi-level 1 0.1056
D3 aspect-based 1 0.1056
D3 doris-mae 4 0.4225
D3 design 1 0.0753
D3 handl 2 0.2113
D3 nat 1 0.1056
D3 develop 1 0.1056
D3 benchmark 1 0.0596
D3 within 1 0.0753
D3 field 1 0.1056
D3 comput 1 0.0497
D3 consist 1 0.0753
D3 100 2 0.2113
D3 human-authored 1 0.1056
D3 cas 2 0.2113
D3 assembl 1 0.1056
D3 collect 1 0.0753
D3 produc 1 0.0753
D3 scor 1 0.0753
D3 rank 1 0.0497
D3 recogn 1 0.1056
D3 sign 1 0.0596
D3 lab 1 0.1056
D3 expert 1 0.1056
D3 also 1 0.0497
D3 introduc 1 0.0753
D3 anno-gpt 1 0.1056
D3 scal 1 0.1056
D3 framework 1 0.0596
D3 valid 1 0.1056
D3 perform 2 0.0856
D3 larg 1 0.0497
D3 langu 1 0.0596
D3 model 1 0.0376
D3 llms 1 0.0596
D3 expert-level 1 0.1056
D3 llm 1 0.0596
D3 result 1 0.0428
D3 500x 1 0.1056
D3 reduc 1 0.0596
D3 without 2 0.2113
D3 comprom 1 0.1056
D3 qual 1 0.1056
D3 furtherm 1 0.1056
D3 multi-tiered 1 0.1056
D3 structure 1 0.0753
D3 extend 1 0.1056
D3 4,000 1 0.1056
D3 sub-query 1 0.1056
D3 test 1 0.0596
D3 addit 1 0.0596
D3 17 1 0.1056
D3 rec 1 0.0753
D3 method 1 0.0596
D3 observ 1 0.1056
D3 not 1 0.0753
D3 drop 1 0.1056
D3 comp 1 0.0497
D3 tradit 1 0.0753
D3 highlight 1 0.1056
D3 nee 1 0.1056
D3 bet 1 0.1056
D3 approach 1 0.0596
D4 larg 1 0.0442
D4 langu 1 0.0530
D4 model 2 0.0669
D4 llms 1 0.0530
D4 demonst 2 0.0884
D4 impress 1 0.0939
D4 effect 5 0.1902
D4 zero-shot 6 0.4014
D4 docu 2 0.0761
D4 rank 7 0.3095
D4 task 1 0.0669
D4 pointw 2 0.1878
D4 pairw 2 0.1878
D4 listw 1 0.0669
D4 prompt 3 0.2817
D4 approach 9 0.4771
D4 propos 2 0.0761
D4 llm-based 3 0.2817
D4 study 1 0.0669
D4 begin 1 0.0939
D4 thorough 1 0.0939
D4 evalu 2 0.1060
D4 ex 1 0.0530
D4 within 1 0.0669
D4 consist 1 0.0669
D4 expery 1 0.0530
D4 framework 1 0.0530
D4 consid 2 0.1878
D4 fact 1 0.0939
D4 lik 1 0.0669
D4 siz 1 0.0669
D4 tok 2 0.1338
D4 consum 2 0.1878
D4 lat 1 0.0669
D4 among 1 0.0939
D4 oth 1 0.0939
D4 first-of-its-kind 1 0.0939
D4 comp 1 0.0442
D4 allow 1 0.0669
D4 us 2 0.0761
D4 ident 1 0.0939
D4 trade-offs 1 0.0939
D4 efficy 4 0.2676
D4 inh 1 0.0939
D4 find 1 0.0669
D4 scor 1 0.0669
D4 high 3 0.1590
D4 suff 1 0.0939
D4 poor 1 0.0939
D4 convers 1 0.0939
D4 supery 1 0.0939
D4 int 1 0.0939
D4 comput 2 0.0884
D4 overhead 1 0.0939
D4 enh 1 0.0939
D4 novel 1 0.0669
D4 setw 1 0.0939
D4 reduc 2 0.1060
D4 numb 1 0.0939
D4 llm 1 0.0530
D4 inf 1 0.0939
D4 amount 1 0.0939
D4 proc 1 0.0939
D4 sign 1 0.0530
D4 improv 1 0.0530
D4 test 1 0.0530
D4 method 1 0.0530
D4 trec 1 0.0442
D4 dl 1 0.0939
D4 dataset 1 0.0380
D4 beir 1 0.0939
D4 benchmark 1 0.0530
D4 empir 1 0.0939
D4 result 1 0.0380
