doc term frequency weight
D1 research 2 0.1908
D1 success 1 0.1690
D1 appli 1 0.1690
D1 larg 1 0.0796
D1 languag 1 0.0954
D1 model 3 0.1806
D1 llm 3 0.2863
D1 chatgpt 1 0.1690
D1 rerank 5 0.8451
D1 inform 1 0.1204
D1 retriev 1 0.0685
D1 context 1 0.1690
D1 date 1 0.1690
D1 work 2 0.2408
D1 mostli 1 0.1690
D1 built 1 0.1690
D1 proprietari 1 0.1690
D1 hidden 1 0.1690
D1 behind 2 0.3380
D1 opaqu 1 0.1690
D1 api 1 0.1690
D1 endpoint 1 0.1690
D1 approach 1 0.0954
D1 yield 1 0.1204
D1 experiment 2 0.2408
D1 result 2 0.1370
D1 reproduc 1 0.1690
D1 non-determinist 1 0.1690
D1 threaten 1 0.1690
D1 verac 1 0.1690
D1 outcom 1 0.1690
D1 build 1 0.1690
D1 shaki 1 0.1690
D1 foundat 2 0.3380
D1 address 1 0.0796
D1 signific 1 0.1204
D1 shortcom 1 0.1690
D1 present 1 0.1690
D1 rankvicuna 1 0.1690
D1 first 1 0.1204
D1 fulli 1 0.1690
D1 open-sourc 1 0.1690
D1 capabl 1 0.1204
D1 perform 1 0.0685
D1 high-qual 1 0.1690
D1 listwis 1 0.1204
D1 zero-shot 2 0.2408
D1 set 1 0.1204
D1 trec 1 0.0796
D1 2019 1 0.1690
D1 2020 1 0.1690
D1 deep 1 0.0954
D1 learn 1 0.0796
D1 track 1 0.1690
D1 show 1 0.1204
D1 achiev 1 0.1690
D1 effect 2 0.1370
D1 compar 1 0.0796
D1 gpt-3.5 1 0.1690
D1 much 1 0.1690
D1 smaller 1 0.1690
D1 7b 1 0.1690
D1 paramet 1 0.1690
D1 although 1 0.1690
D1 remain 1 0.1690
D1 slightli 1 0.1690
D1 gpt-4 1 0.1690
D1 hope 1 0.1690
D1 provid 1 0.1690
D1 futur 1 0.1690
D1 modern 1 0.1690
D2 advent 1 0.1056
D2 transformer-bas 3 0.3169
D2 architectur 2 0.2113
D2 contextu 2 0.2113
D2 represent 3 0.3169
D2 text 4 0.4225
D2 data 1 0.0753
D2 leverag 1 0.0753
D2 queri 8 0.3979
D2 document 7 0.2996
D2 repres 1 0.0753
D2 low-dimension 1 0.1056
D2 dens 3 0.2258
D2 vector 5 0.5282
D2 space 2 0.1505
D2 learn 2 0.0995
D2 embed 1 0.0596
D2 fix 1 0.1056
D2 size 1 0.0753
D2 result 3 0.1284
D2 deeper 2 0.2113
D2 understand 2 0.2113
D2 studi 2 0.1505
D2 design 1 0.0753
D2 pipelin 1 0.1056
D2 effect 1 0.0428
D2 retriev 3 0.1284
D2 larg 1 0.0497
D2 search 1 0.0753
D2 combin 1 0.1056
D2 capabl 1 0.0753
D2 bert 2 0.2113
D2 model 7 0.2634
D2 phrase 2 0.2113
D2 embedding-bas 2 0.1505
D2 expans 2 0.1505
D2 fine-tun 1 0.1056
D2 deep 1 0.0596
D2 semant 2 0.1193
D2 match 2 0.1505
D2 separ 2 0.2113
D2 encod 2 0.1505
D2 base 1 0.0596
D2 sentenc 1 0.1056
D2 sbert 1 0.1056
D2 gener 1 0.0753
D2 also 1 0.0497
D2 address 1 0.0497
D2 maximum 1 0.1056
D2 token 1 0.0753
D2 length 1 0.1056
D2 limit 1 0.0753
D2 summar 1 0.1056
D2 lengthi 1 0.1056
D2 addit 1 0.0596
D2 improv 1 0.0596
D2 clariti 1 0.1056
D2 complet 1 0.1056
D2 short 1 0.1056
D2 reduc 1 0.0753
D2 gap 1 0.0753
D2 employ 1 0.1056
D2 index 1 0.0753
D2 use 2 0.0856
D2 elasticsearch 1 0.1056
D2 engin 1 0.1056
D2 query-specif 1 0.1056
D2 final 2 0.2113
D2 bert-bas 1 0.1056
D2 cross-encod 1 0.1056
D2 re-rank 1 0.1056
D2 relev 1 0.0497
D2 record 1 0.1056
D2 perform 2 0.0856
D2 full 1 0.1056
D2 self-attent 1 0.1056
D2 input 1 0.1056
D2 yield 1 0.0753
D2 richer 1 0.1056
D2 interact 1 0.0753
D2 produc 2 0.1505
D2 assess 1 0.1056
D2 experi 1 0.1056
D2 conduct 1 0.1056
D2 two 1 0.0753
D2 well-known 1 0.1056
D2 dataset 1 0.0428
D2 trec-cds-2014 1 0.1056
D2 ohsum 1 0.1056
D2 compar 1 0.0497
D2 analysi 1 0.1056
D2 carri 1 0.1056
D2 clearli 1 0.1056
D2 demonstr 1 0.0497
D2 propos 1 0.0428
D2 framework 1 0.0596
D2 competit 1 0.1056
D3 scientif 4 0.4225
D3 research 3 0.1789
D3 abil 1 0.1056
D3 effect 2 0.0856
D3 retriev 3 0.1284
D3 relev 3 0.1492
D3 document 3 0.1284
D3 base 1 0.0596
D3 complex 7 0.7395
D3 multifacet 2 0.2113
D3 queri 8 0.3979
D3 critic 1 0.1056
D3 exist 1 0.0596
D3 evalu 2 0.1193
D3 dataset 6 0.2568
D3 task 3 0.2258
D3 limit 1 0.0753
D3 primarili 1 0.1056
D3 due 2 0.2113
D3 high 1 0.0753
D3 cost 2 0.1505
D3 effort 1 0.1056
D3 requir 2 0.2113
D3 annot 6 0.6338
D3 resourc 1 0.1056
D3 repres 1 0.0753
D3 address 1 0.0497
D3 propos 1 0.0428
D3 novel 1 0.0753
D3 use 1 0.0428
D3 multi-level 1 0.1056
D3 aspect-bas 1 0.1056
D3 doris-ma 4 0.4225
D3 design 1 0.0753
D3 handl 2 0.2113
D3 natur 1 0.1056
D3 user 1 0.1056
D3 develop 1 0.1056
D3 benchmark 1 0.0596
D3 within 1 0.0753
D3 field 1 0.1056
D3 comput 1 0.0497
D3 scienc 1 0.1056
D3 consist 1 0.0753
D3 100 2 0.2113
D3 human-author 1 0.1056
D3 case 2 0.2113
D3 assembl 1 0.1056
D3 collect 1 0.0753
D3 produc 1 0.0753
D3 score 1 0.0753
D3 rank 1 0.0497
D3 recogn 1 0.1056
D3 signific 1 0.0753
D3 labor 1 0.1056
D3 expert 1 0.1056
D3 also 1 0.0497
D3 introduc 1 0.0753
D3 anno-gpt 1 0.1056
D3 scalabl 1 0.1056
D3 framework 1 0.0596
D3 valid 1 0.1056
D3 perform 2 0.0856
D3 larg 1 0.0497
D3 languag 1 0.0596
D3 model 1 0.0376
D3 llm 2 0.1193
D3 expert-level 1 0.1056
D3 result 1 0.0428
D3 500x 1 0.1056
D3 reduct 1 0.1056
D3 without 2 0.2113
D3 compromis 1 0.1056
D3 qualiti 1 0.1056
D3 furthermor 1 0.1056
D3 multi-ti 1 0.1056
D3 structur 1 0.0753
D3 extend 1 0.1056
D3 4,000 1 0.1056
D3 sub-queri 1 0.1056
D3 test 1 0.0596
D3 addit 1 0.0596
D3 17 1 0.1056
D3 recent 1 0.0753
D3 method 1 0.0596
D3 observ 1 0.1056
D3 notabl 1 0.1056
D3 drop 1 0.1056
D3 compar 1 0.0497
D3 tradit 1 0.0753
D3 highlight 1 0.1056
D3 need 1 0.1056
D3 better 1 0.1056
D3 approach 1 0.0596
D4 larg 1 0.0442
D4 languag 1 0.0530
D4 model 2 0.0669
D4 llm 2 0.1060
D4 demonstr 2 0.0884
D4 impress 1 0.0939
D4 effect 5 0.1902
D4 zero-shot 6 0.4014
D4 document 2 0.0761
D4 rank 7 0.3095
D4 task 1 0.0669
D4 pointwis 2 0.1878
D4 pairwis 2 0.1878
D4 listwis 1 0.0669
D4 prompt 3 0.2817
D4 approach 9 0.4771
D4 propos 2 0.0761
D4 llm-base 3 0.2817
D4 studi 1 0.0669
D4 begin 1 0.0939
D4 thoroughli 1 0.0939
D4 evalu 2 0.1060
D4 exist 1 0.0530
D4 within 1 0.0669
D4 consist 1 0.0669
D4 experiment 1 0.0669
D4 framework 1 0.0530
D4 consid 1 0.0939
D4 factor 1 0.0939
D4 like 1 0.0669
D4 size 1 0.0669
D4 token 2 0.1338
D4 consumpt 2 0.1878
D4 latenc 1 0.0939
D4 among 1 0.0939
D4 other 1 0.0939
D4 first-of-its-kind 1 0.0939
D4 compar 1 0.0442
D4 allow 1 0.0669
D4 us 1 0.0939
D4 identifi 1 0.0939
D4 trade-off 1 0.0939
D4 effici 4 0.2676
D4 inher 1 0.0939
D4 find 1 0.0669
D4 score 1 0.0669
D4 high 3 0.2007
D4 suffer 1 0.0939
D4 poor 1 0.0939
D4 convers 1 0.0939
D4 superior 1 0.0939
D4 incur 1 0.0939
D4 comput 2 0.0884
D4 overhead 1 0.0939
D4 enhanc 1 0.0939
D4 novel 1 0.0669
D4 setwis 1 0.0939
D4 reduc 2 0.1338
D4 number 1 0.0939
D4 infer 1 0.0939
D4 amount 1 0.0939
D4 procedur 1 0.0939
D4 significantli 1 0.0939
D4 improv 1 0.0530
D4 test 1 0.0530
D4 method 1 0.0530
D4 use 1 0.0380
D4 trec 1 0.0442
D4 dl 1 0.0939
D4 dataset 1 0.0380
