doc term frequency weight
D1 research 2 0.2408
D1 success 1 0.1690
D1 appli 1 0.1690
D1 larg 1 0.0796
D1 languag 1 0.0954
D1 model 2 0.1204
D1 (llms) 1 0.0954
D1 chatgpt 1 0.1690
D1 rerank 5 0.8451
D1 inform 1 0.1204
D1 retriev 1 0.0685
D1 context, 1 0.1690
D1 date, 1 0.1690
D1 work 2 0.3380
D1 mostli 1 0.1690
D1 built 1 0.1690
D1 proprietari 1 0.1690
D1 hidden 1 0.1690
D1 behind 2 0.3380
D1 opaqu 1 0.1690
D1 api 1 0.1690
D1 endpoints. 1 0.1690
D1 approach 1 0.0954
D1 yield 1 0.1204
D1 experiment 2 0.2408
D1 result 2 0.1370
D1 reproduc 1 0.1690
D1 non-deterministic, 1 0.1690
D1 threaten 1 0.1690
D1 verac 1 0.1690
D1 outcom 1 0.1690
D1 build 1 0.1690
D1 shaki 1 0.1690
D1 foundations. 1 0.1690
D1 address 1 0.0796
D1 signific 1 0.1204
D1 shortcoming, 1 0.1690
D1 present 1 0.1690
D1 rankvicuna, 1 0.1690
D1 first 1 0.1204
D1 fulli 1 0.1690
D1 open-sourc 1 0.1690
D1 llm 1 0.0954
D1 capabl 1 0.1204
D1 perform 1 0.0796
D1 high-qual 1 0.1690
D1 listwis 1 0.1204
D1 zero-shot 2 0.2408
D1 setting. 1 0.1690
D1 trec 1 0.0796
D1 2019 1 0.1690
D1 2020 1 0.1690
D1 deep 1 0.0954
D1 learn 1 0.0796
D1 track 1 0.1690
D1 show 1 0.1204
D1 achiev 1 0.1690
D1 effect 2 0.1370
D1 compar 1 0.0796
D1 gpt-3.5 1 0.1690
D1 much 1 0.1690
D1 smaller 1 0.1690
D1 7b 1 0.1690
D1 paramet 1 0.1690
D1 model, 1 0.1690
D1 although 1 0.1690
D1 remain 1 0.1690
D1 slightli 1 0.1690
D1 gpt-4. 1 0.1690
D1 hope 1 0.1690
D1 provid 1 0.1690
D1 foundat 1 0.1690
D1 futur 1 0.1690
D1 modern 1 0.1690
D1 llms. 1 0.1690
D2 advent 1 0.1408
D2 transformer-bas 3 0.4225
D2 architectures, 1 0.1408
D2 contextu 2 0.2817
D2 represent 2 0.2817
D2 text 4 0.5634
D2 data 1 0.1003
D2 leverag 1 0.1003
D2 queri 5 0.3316
D2 document 5 0.2854
D2 repres 1 0.1003
D2 low-dimension 1 0.1408
D2 dens 3 0.3010
D2 vector 5 0.7042
D2 space. 1 0.1003
D2 learn 2 0.1326
D2 embed 1 0.0795
D2 fix 1 0.1408
D2 sizes, 1 0.1408
D2 result 1 0.0571
D2 deeper 2 0.2817
D2 understanding. 1 0.1408
D2 study, 1 0.1408
D2 design 1 0.1003
D2 pipelin 1 0.1408
D2 effect 1 0.0571
D2 retriev 3 0.1712
D2 larg 1 0.0663
D2 search 1 0.1003
D2 space 1 0.1003
D2 combin 1 0.1408
D2 understand 1 0.1408
D2 capabl 1 0.1003
D2 bert 2 0.2817
D2 model 6 0.3010
D2 phrase 2 0.2817
D2 embedding-bas 2 0.2007
D2 expans 2 0.2007
D2 model. 1 0.1408
D2 representations, 1 0.1408
D2 fine-tun 1 0.1408
D2 deep 1 0.0795
D2 semant 2 0.1590
D2 match 2 0.2007
D2 separ 2 0.2817
D2 encod 2 0.2007
D2 query. 2 0.2007
D2 base 1 0.0795
D2 sentenc 1 0.1408
D2 (sbert) 1 0.1408
D2 architecture, 1 0.1408
D2 gener 1 0.1003
D2 queries. 1 0.1003
D2 studi 1 0.1003
D2 also 1 0.0663
D2 address 1 0.0663
D2 maximum 1 0.1408
D2 token 1 0.1003
D2 length 1 0.1408
D2 limit 1 0.1408
D2 summar 1 0.1408
D2 lengthi 1 0.1408
D2 documents. 2 0.2817
D2 addition, 1 0.1408
D2 improv 1 0.0795
D2 clariti 1 0.1408
D2 complet 1 0.1408
D2 short 1 0.1408
D2 reduc 1 0.1003
D2 gap, 1 0.1408
D2 employed. 1 0.1408
D2 index 1 0.1003
D2 use 2 0.1141
D2 elasticsearch 1 0.1408
D2 engine, 1 0.1408
D2 query-specif 1 0.1408
D2 finally, 1 0.1408
D2 bert-bas 1 0.1408
D2 cross-encod 1 0.1408
D2 re-rank 1 0.1408
D2 relev 1 0.0663
D2 record 1 0.1408
D2 perform 1 0.0663
D2 full 1 0.1408
D2 self-attent 1 0.1408
D2 inputs, 1 0.1408
D2 yield 1 0.1003
D2 richer 1 0.1408
D2 interact 1 0.1408
D2 produc 2 0.2007
D2 final 1 0.1408
