term doc frequency weight
research D1 2 0.1908
success D1 1 0.169
apply D1 1 0.169
larg D1 1 0.0796
langu D1 1 0.0954
model D1 3 0.1806
llms D1 2 0.1908
chatgpt D1 1 0.169
rerank D1 5 0.8451
inform D1 1 0.1204
retriev D1 1 0.0685
context D1 1 0.1204
dat D1 1 0.0954
work D1 2 0.2408
most D1 1 0.169
built D1 1 0.169
propriet D1 1 0.169
hid D1 1 0.169
behind D1 2 0.338
opaqu D1 1 0.169
ap D1 1 0.1204
endpoint D1 1 0.169
approach D1 1 0.0954
yield D1 1 0.1204
expery D1 2 0.1908
result D1 2 0.137
reproduc D1 1 0.169
non-deterministic D1 1 0.169
threatening D1 1 0.169
verac D1 1 0.169
outcom D1 1 0.169
build D1 1 0.169
shaky D1 1 0.169
found D1 2 0.338
address D1 1 0.0796
sign D1 1 0.0954
shortcom D1 1 0.169
pres D1 1 0.169
rankvicun D1 1 0.169
first D1 1 0.1204
ful D1 1 0.1204
open-source D1 1 0.169
llm D1 1 0.0954
cap D1 1 0.1204
perform D1 1 0.0685
high-quality D1 1 0.169
listw D1 1 0.1204
zero-shot D1 2 0.2408
set D1 1 0.1204
trec D1 1 0.0796
2019 D1 1 0.169
2020 D1 1 0.169
deep D1 1 0.0954
learn D1 1 0.0796
track D1 1 0.169
show D1 1 0.1204
achiev D1 1 0.169
effect D1 2 0.137
comp D1 1 0.0796
gpt-3.5 D1 1 0.169
much D1 1 0.169
smal D1 1 0.169
7b D1 1 0.169
paramet D1 1 0.169
although D1 1 0.169
remain D1 1 0.169
slight D1 1 0.169
gpt-4 D1 1 0.169
hop D1 1 0.169
provid D1 1 0.169
fut D1 1 0.169
modern D1 1 0.169
adv D2 1 0.1056
transformer-based D2 3 0.3169
architect D2 2 0.2113
context D2 2 0.1505
repres D2 4 0.301
text D2 4 0.4225
dat D2 1 0.0596
lev D2 1 0.0753
query D2 8 0.3979
docu D2 7 0.2996
low-dimensional D2 1 0.1056
dens D2 3 0.2258
vect D2 5 0.5282
spac D2 2 0.1505
learn D2 2 0.0995
embed D2 1 0.0596
fix D2 1 0.1056
siz D2 1 0.0753
result D2 3 0.1284
deep D2 3 0.1789
understand D2 2 0.2113
study D2 2 0.1505
design D2 1 0.0753
pipelin D2 1 0.1056
effect D2 1 0.0428
retriev D2 3 0.1284
larg D2 1 0.0497
search D2 1 0.0753
combin D2 1 0.1056
cap D2 1 0.0753
bert D2 2 0.2113
model D2 7 0.2634
phrase D2 2 0.2113
embedding-based D2 2 0.1505
expand D2 2 0.1505
fine-tuned D2 1 0.1056
sem D2 2 0.1193
match D2 2 0.1505
sep D2 2 0.2113
encod D2 2 0.1505
bas D2 1 0.0596
sent D2 1 0.1056
sbert D2 1 0.1056
gen D2 1 0.0753
also D2 1 0.0497
address D2 1 0.0497
maxim D2 1 0.1056
tok D2 1 0.0753
leng D2 1 0.1056
limit D2 1 0.0753
summ D2 1 0.1056
lengthy D2 1 0.1056
addit D2 1 0.0596
improv D2 1 0.0596
clar D2 1 0.1056
complet D2 1 0.1056
short D2 1 0.1056
reduc D2 1 0.0596
gap D2 1 0.0753
employ D2 1 0.1056
index D2 1 0.0753
us D2 2 0.0856
elasticsearch D2 1 0.1056
engin D2 1 0.1056
query-specific D2 1 0.1056
fin D2 2 0.2113
bert-based D2 1 0.1056
cross-encoder D2 1 0.1056
re-rank D2 1 0.1056
relev D2 1 0.0497
record D2 1 0.1056
perform D2 2 0.0856
ful D2 1 0.0753
self-attention D2 1 0.1056
input D2 1 0.1056
yield D2 1 0.0753
rich D2 1 0.1056
interact D2 1 0.0753
produc D2 2 0.1505
assess D2 1 0.1056
expery D2 1 0.0596
conduc D2 1 0.1056
two D2 1 0.0753
well-known D2 1 0.1056
dataset D2 1 0.0428
trec-cds-2014 D2 1 0.1056
ohsum D2 1 0.1056
comp D2 1 0.0497
analys D2 1 0.1056
carry D2 1 0.1056
clear D2 1 0.1056
demonst D2 1 0.0497
propos D2 1 0.0428
framework D2 1 0.0596
competit D2 1 0.1056
sci D3 5 0.5282
research D3 3 0.1789
abl D3 1 0.1056
effect D3 2 0.0856
retriev D3 3 0.1284
relev D3 3 0.1492
docu D3 3 0.1284
bas D3 1 0.0596
complex D3 7 0.7395
multifacet D3 2 0.2113
query D3 8 0.3979
crit D3 1 0.1056
ex D3 1 0.0596
evalu D3 2 0.1193
dataset D3 6 0.2568
task D3 3 0.2258
limit D3 1 0.0753
prim D3 1 0.1056
due D3 2 0.2113
high D3 1 0.0596
cost D3 2 0.1505
effort D3 1 0.1056
requir D3 2 0.2113
annot D3 6 0.6338
resourc D3 1 0.1056
repres D3 1 0.0753
address D3 1 0.0497
propos D3 1 0.0428
novel D3 1 0.0753
us D3 2 0.0856
multi-level D3 1 0.1056
aspect-based D3 1 0.1056
doris-mae D3 4 0.4225
design D3 1 0.0753
handl D3 2 0.2113
nat D3 1 0.1056
develop D3 1 0.1056
benchmark D3 1 0.0596
within D3 1 0.0753
field D3 1 0.1056
comput D3 1 0.0497
consist D3 1 0.0753
100 D3 2 0.2113
human-authored D3 1 0.1056
cas D3 2 0.2113
assembl D3 1 0.1056
collect D3 1 0.0753
produc D3 1 0.0753
scor D3 1 0.0753
rank D3 1 0.0497
recogn D3 1 0.1056
sign D3 1 0.0596
lab D3 1 0.1056
expert D3 1 0.1056
also D3 1 0.0497
introduc D3 1 0.0753
anno-gpt D3 1 0.1056
scal D3 1 0.1056
framework D3 1 0.0596
valid D3 1 0.1056
perform D3 2 0.0856
larg D3 1 0.0497
langu D3 1 0.0596
model D3 1 0.0376
llms D3 1 0.0596
expert-level D3 1 0.1056
llm D3 1 0.0596
result D3 1 0.0428
500x D3 1 0.1056
reduc D3 1 0.0596
without D3 2 0.2113
comprom D3 1 0.1056
qual D3 1 0.1056
furtherm D3 1 0.1056
multi-tiered D3 1 0.1056
structure D3 1 0.0753
extend D3 1 0.1056
4,000 D3 1 0.1056
sub-query D3 1 0.1056
test D3 1 0.0596
addit D3 1 0.0596
17 D3 1 0.1056
rec D3 1 0.0753
method D3 1 0.0596
observ D3 1 0.1056
not D3 1 0.0753
drop D3 1 0.1056
comp D3 1 0.0497
tradit D3 1 0.0753
highlight D3 1 0.1056
nee D3 1 0.1056
bet D3 1 0.1056
approach D3 1 0.0596
larg D4 1 0.0442
langu D4 1 0.053
model D4 2 0.0669
llms D4 1 0.053
demonst D4 2 0.0884
impress D4 1 0.0939
effect D4 5 0.1902
zero-shot D4 6 0.4014
docu D4 2 0.0761
rank D4 7 0.3095
task D4 1 0.0669
pointw D4 2 0.1878
pairw D4 2 0.1878
listw D4 1 0.0669
prompt D4 3 0.2817
approach D4 9 0.4771
propos D4 2 0.0761
llm-based D4 3 0.2817
study D4 1 0.0669
begin D4 1 0.0939
thorough D4 1 0.0939
evalu D4 2 0.106
ex D4 1 0.053
within D4 1 0.0669
consist D4 1 0.0669
expery D4 1 0.053
framework D4 1 0.053
consid D4 2 0.1878
fact D4 1 0.0939
lik D4 1 0.0669
siz D4 1 0.0669
tok D4 2 0.1338
consum D4 2 0.1878
lat D4 1 0.0669
among D4 1 0.0939
oth D4 1 0.0939
first-of-its-kind D4 1 0.0939
comp D4 1 0.0442
allow D4 1 0.0669
us D4 2 0.0761
ident D4 1 0.0939
trade-offs D4 1 0.0939
efficy D4 4 0.2676
inh D4 1 0.0939
find D4 1 0.0669
scor D4 1 0.0669
high D4 3 0.159
suff D4 1 0.0939
poor D4 1 0.0939
convers D4 1 0.0939
supery D4 1 0.0939
int D4 1 0.0939
comput D4 2 0.0884
overhead D4 1 0.0939
enh D4 1 0.0939
novel D4 1 0.0669
setw D4 1 0.0939
reduc D4 2 0.106
numb D4 1 0.0939
llm D4 1 0.053
inf D4 1 0.0939
amount D4 1 0.0939
proc D4 1 0.0939
sign D4 1 0.053
improv D4 1 0.053
test D4 1 0.053
method D4 1 0.053
trec D4 1 0.0442
dl D4 1 0.0939
dataset D4 1 0.038
beir D4 1 0.0939
benchmark D4 1 0.053
empir D4 1 0.0939
result D4 1 0.038
ind D4 1 0.0939
cost D4 1 0.0669
also D4 1 0.0442
retain D4 1 0.0939
dens D5 2 0.2408
embedding-based D5 1 0.1204
retriev D5 2 0.137
industry D5 2 0.338
standard D5 3 0.3612
sem D5 1 0.0954
search D5 2 0.2408
rank D5 1 0.0796
problem D5 1 0.169
lik D5 1 0.1204
obtain D5 1 0.169
relev D5 1 0.0796
web D5 1 0.169
docu D5 4 0.2739
giv D5 2 0.338
query D5 4 0.3184
techn D5 1 0.169
us D5 2 0.137
two-stage D5 1 0.169
process D5 1 0.169
contrast D5 1 0.169
learn D5 5 0.3979
train D5 1 0.1204
dual D5 2 0.338
encod D5 2 0.2408
emb D5 1 0.169
b D5 1 0.169
approxim D5 1 0.169
nearest D5 1 0.169
neighb D5 1 0.169
an D5 5 0.8451
find D5 1 0.1204
simil D5 1 0.1204
two D5 1 0.1204
stag D5 1 0.169
disjoint D5 1 0.169
embed D5 4 0.3817
might D5 1 0.169
ill-suited D5 1 0.169
method D5 1 0.0954
vice-versa D5 1 0.169
lead D5 1 0.169
suboptim D5 1 0.169
perform D5 2 0.137
work D5 1 0.1204
propos D5 1 0.0685
end-to-end D5 1 0.169
hierarch D5 1 0.169
index D5 2 0.2408
eh D5 5 0.8451
joint D5 1 0.169
structure D5 3 0.3612
optim D5 1 0.169
model D5 1 0.0602
invert D5 1 0.169
fil D5 1 0.169
ivf D5 1 0.169
styl D5 1 0.169
tre D5 2 0.338
efficy D5 2 0.2408
ens D5 1 0.169
stabl D5 1 0.169
discret D5 1 0.169
tree-based D5 1 0.169
introduc D5 1 0.1204
not D5 1 0.1204
path D5 1 0.169
capt D5 1 0.169
posit D5 1 0.169
query/document D5 1 0.169
demonst D5 1 0.0796
effect D5 1 0.0685
sev D5 1 0.169
benchmark D5 2 0.1908
includ D5 1 0.169
de-facto D5 1 0.169
ms D5 2 0.2408
marco D5 2 0.2408
dev D5 2 0.338
set D5 2 0.2408
trec D5 2 0.1592
dl19 D5 2 0.338
dataset D5 1 0.0685
exampl D5 1 0.169
comput D5 1 0.0796
budget D5 1 0.169
outperform D5 1 0.1204
state-of-the-art D5 1 0.1204
sot D5 1 0.169
0.6% D5 1 0.169
mrr@10 D5 1 0.169
4.2% D5 1 0.169
ndcg@10 D5 1 0.169
query D6 2 0.0724
expand D6 4 0.2189
qe D6 4 0.3073
common D6 1 0.0768
us D6 3 0.0934
improv D6 1 0.0434
perform D6 1 0.0311
tradit D6 2 0.1095
inform D6 1 0.0547
retriev D6 1 0.0311
ir D6 2 0.1537
model D6 11 0.301
adopt D6 1 0.0768
deep D6 1 0.0434
learn D6 2 0.0724
research D6 2 0.0867
