term doc frequency weight
research D1 2 0.1908
success D1 1 0.169
appli D1 1 0.169
larg D1 1 0.0796
languag D1 1 0.0954
model D1 3 0.1806
llm D1 3 0.2863
chatgpt D1 1 0.169
rerank D1 5 0.8451
inform D1 1 0.1204
retriev D1 1 0.0685
context D1 1 0.169
date D1 1 0.169
work D1 2 0.2408
mostli D1 1 0.169
built D1 1 0.169
proprietari D1 1 0.169
hidden D1 1 0.169
behind D1 2 0.338
opaqu D1 1 0.169
api D1 1 0.169
endpoint D1 1 0.169
approach D1 1 0.0954
yield D1 1 0.1204
experiment D1 2 0.2408
result D1 2 0.137
reproduc D1 1 0.169
non-determinist D1 1 0.169
threaten D1 1 0.169
verac D1 1 0.169
outcom D1 1 0.169
build D1 1 0.169
shaki D1 1 0.169
foundat D1 2 0.338
address D1 1 0.0796
signific D1 1 0.1204
shortcom D1 1 0.169
present D1 1 0.169
rankvicuna D1 1 0.169
first D1 1 0.1204
fulli D1 1 0.169
open-sourc D1 1 0.169
capabl D1 1 0.1204
perform D1 1 0.0685
high-qual D1 1 0.169
listwis D1 1 0.1204
zero-shot D1 2 0.2408
set D1 1 0.1204
trec D1 1 0.0796
2019 D1 1 0.169
2020 D1 1 0.169
deep D1 1 0.0954
learn D1 1 0.0796
track D1 1 0.169
show D1 1 0.1204
achiev D1 1 0.169
effect D1 2 0.137
compar D1 1 0.0796
gpt-3.5 D1 1 0.169
much D1 1 0.169
smaller D1 1 0.169
7b D1 1 0.169
paramet D1 1 0.169
although D1 1 0.169
remain D1 1 0.169
slightli D1 1 0.169
gpt-4 D1 1 0.169
hope D1 1 0.169
provid D1 1 0.169
futur D1 1 0.169
modern D1 1 0.169
advent D2 1 0.1056
transformer-bas D2 3 0.3169
architectur D2 2 0.2113
contextu D2 2 0.2113
represent D2 3 0.3169
text D2 4 0.4225
data D2 1 0.0753
leverag D2 1 0.0753
queri D2 8 0.3979
document D2 7 0.2996
repres D2 1 0.0753
low-dimension D2 1 0.1056
dens D2 3 0.2258
vector D2 5 0.5282
space D2 2 0.1505
learn D2 2 0.0995
embed D2 1 0.0596
fix D2 1 0.1056
size D2 1 0.0753
result D2 3 0.1284
deeper D2 2 0.2113
understand D2 2 0.2113
studi D2 2 0.1505
design D2 1 0.0753
pipelin D2 1 0.1056
effect D2 1 0.0428
retriev D2 3 0.1284
larg D2 1 0.0497
search D2 1 0.0753
combin D2 1 0.1056
capabl D2 1 0.0753
bert D2 2 0.2113
model D2 7 0.2634
phrase D2 2 0.2113
embedding-bas D2 2 0.1505
expans D2 2 0.1505
fine-tun D2 1 0.1056
deep D2 1 0.0596
semant D2 2 0.1193
match D2 2 0.1505
separ D2 2 0.2113
encod D2 2 0.1505
base D2 1 0.0596
sentenc D2 1 0.1056
sbert D2 1 0.1056
gener D2 1 0.0753
also D2 1 0.0497
address D2 1 0.0497
maximum D2 1 0.1056
token D2 1 0.0753
length D2 1 0.1056
limit D2 1 0.0753
summar D2 1 0.1056
lengthi D2 1 0.1056
addit D2 1 0.0596
improv D2 1 0.0596
clariti D2 1 0.1056
complet D2 1 0.1056
short D2 1 0.1056
reduc D2 1 0.0753
gap D2 1 0.0753
employ D2 1 0.1056
index D2 1 0.0753
use D2 2 0.0856
elasticsearch D2 1 0.1056
engin D2 1 0.1056
query-specif D2 1 0.1056
final D2 2 0.2113
bert-bas D2 1 0.1056
cross-encod D2 1 0.1056
re-rank D2 1 0.1056
relev D2 1 0.0497
record D2 1 0.1056
perform D2 2 0.0856
full D2 1 0.1056
self-attent D2 1 0.1056
input D2 1 0.1056
yield D2 1 0.0753
richer D2 1 0.1056
interact D2 1 0.0753
produc D2 2 0.1505
assess D2 1 0.1056
experi D2 1 0.1056
conduct D2 1 0.1056
two D2 1 0.0753
well-known D2 1 0.1056
dataset D2 1 0.0428
trec-cds-2014 D2 1 0.1056
ohsum D2 1 0.1056
compar D2 1 0.0497
analysi D2 1 0.1056
carri D2 1 0.1056
clearli D2 1 0.1056
demonstr D2 1 0.0497
propos D2 1 0.0428
framework D2 1 0.0596
competit D2 1 0.1056
scientif D3 4 0.4225
research D3 3 0.1789
abil D3 1 0.1056
effect D3 2 0.0856
retriev D3 3 0.1284
relev D3 3 0.1492
document D3 3 0.1284
base D3 1 0.0596
complex D3 7 0.7395
multifacet D3 2 0.2113
queri D3 8 0.3979
critic D3 1 0.1056
exist D3 1 0.0596
evalu D3 2 0.1193
dataset D3 6 0.2568
task D3 3 0.2258
limit D3 1 0.0753
primarili D3 1 0.1056
due D3 2 0.2113
high D3 1 0.0753
cost D3 2 0.1505
effort D3 1 0.1056
requir D3 2 0.2113
annot D3 6 0.6338
resourc D3 1 0.1056
repres D3 1 0.0753
address D3 1 0.0497
propos D3 1 0.0428
novel D3 1 0.0753
use D3 1 0.0428
multi-level D3 1 0.1056
aspect-bas D3 1 0.1056
doris-ma D3 4 0.4225
design D3 1 0.0753
handl D3 2 0.2113
natur D3 1 0.1056
user D3 1 0.1056
develop D3 1 0.1056
benchmark D3 1 0.0596
within D3 1 0.0753
field D3 1 0.1056
comput D3 1 0.0497
scienc D3 1 0.1056
consist D3 1 0.0753
100 D3 2 0.2113
human-author D3 1 0.1056
case D3 2 0.2113
assembl D3 1 0.1056
collect D3 1 0.0753
produc D3 1 0.0753
score D3 1 0.0753
rank D3 1 0.0497
recogn D3 1 0.1056
signific D3 1 0.0753
labor D3 1 0.1056
expert D3 1 0.1056
also D3 1 0.0497
introduc D3 1 0.0753
anno-gpt D3 1 0.1056
scalabl D3 1 0.1056
framework D3 1 0.0596
valid D3 1 0.1056
perform D3 2 0.0856
larg D3 1 0.0497
languag D3 1 0.0596
model D3 1 0.0376
llm D3 2 0.1193
expert-level D3 1 0.1056
result D3 1 0.0428
500x D3 1 0.1056
reduct D3 1 0.1056
without D3 2 0.2113
compromis D3 1 0.1056
qualiti D3 1 0.1056
furthermor D3 1 0.1056
multi-ti D3 1 0.1056
structur D3 1 0.0753
extend D3 1 0.1056
4,000 D3 1 0.1056
sub-queri D3 1 0.1056
test D3 1 0.0596
addit D3 1 0.0596
17 D3 1 0.1056
recent D3 1 0.0753
method D3 1 0.0596
observ D3 1 0.1056
notabl D3 1 0.1056
drop D3 1 0.1056
compar D3 1 0.0497
tradit D3 1 0.0753
highlight D3 1 0.1056
need D3 1 0.1056
better D3 1 0.1056
approach D3 1 0.0596
larg D4 1 0.0442
languag D4 1 0.053
model D4 2 0.0669
llm D4 2 0.106
demonstr D4 2 0.0884
impress D4 1 0.0939
effect D4 5 0.1902
zero-shot D4 6 0.4014
document D4 2 0.0761
rank D4 7 0.3095
task D4 1 0.0669
pointwis D4 2 0.1878
pairwis D4 2 0.1878
listwis D4 1 0.0669
prompt D4 3 0.2817
approach D4 9 0.4771
propos D4 2 0.0761
llm-base D4 3 0.2817
studi D4 1 0.0669
begin D4 1 0.0939
thoroughli D4 1 0.0939
evalu D4 2 0.106
exist D4 1 0.053
within D4 1 0.0669
consist D4 1 0.0669
experiment D4 1 0.0669
framework D4 1 0.053
consid D4 1 0.0939
factor D4 1 0.0939
like D4 1 0.0669
size D4 1 0.0669
token D4 2 0.1338
consumpt D4 2 0.1878
latenc D4 1 0.0939
among D4 1 0.0939
other D4 1 0.0939
first-of-its-kind D4 1 0.0939
compar D4 1 0.0442
allow D4 1 0.0669
us D4 1 0.0939
identifi D4 1 0.0939
trade-off D4 1 0.0939
effici D4 4 0.2676
inher D4 1 0.0939
find D4 1 0.0669
score D4 1 0.0669
high D4 3 0.2007
suffer D4 1 0.0939
poor D4 1 0.0939
convers D4 1 0.0939
superior D4 1 0.0939
incur D4 1 0.0939
comput D4 2 0.0884
overhead D4 1 0.0939
enhanc D4 1 0.0939
novel D4 1 0.0669
setwis D4 1 0.0939
reduc D4 2 0.1338
number D4 1 0.0939
infer D4 1 0.0939
amount D4 1 0.0939
procedur D4 1 0.0939
significantli D4 1 0.0939
improv D4 1 0.053
test D4 1 0.053
method D4 1 0.053
use D4 1 0.038
trec D4 1 0.0442
dl D4 1 0.0939
dataset D4 1 0.038
beir D4 1 0.0939
benchmark D4 1 0.053
empir D4 1 0.0939
result D4 1 0.038
indic D4 1 0.0939
consider D4 1 0.0939
cost D4 1 0.0669
also D4 1 0.0442
retain D4 1 0.0939
dens D5 2 0.2408
embedding-bas D5 1 0.1204
retriev D5 2 0.137
industri D5 2 0.338
standard D5 3 0.3612
semant D5 1 0.0954
search D5 2 0.2408
rank D5 1 0.0796
problem D5 1 0.169
like D5 1 0.1204
obtain D5 1 0.169
relev D5 1 0.0796
web D5 1 0.169
document D5 4 0.2739
given D5 2 0.338
queri D5 4 0.3184
techniqu D5 1 0.169
use D5 2 0.137
two-stag D5 1 0.169
process D5 1 0.169
contrast D5 1 0.169
learn D5 5 0.3979
train D5 1 0.1204
dual D5 2 0.338
encod D5 2 0.2408
emb D5 1 0.169
b D5 1 0.169
approxim D5 1 0.169
nearest D5 1 0.169
neighbor D5 1 0.169
ann D5 5 0.8451
find D5 1 0.1204
similar D5 1 0.1204
two D5 1 0.1204
stage D5 1 0.169
disjoint D5 1 0.169
embed D5 4 0.3817
might D5 1 0.169
ill-suit D5 1 0.169
method D5 1 0.0954
vice-versa D5 1 0.169
lead D5 1 0.169
suboptim D5 1 0.169
perform D5 2 0.137
work D5 1 0.1204
propos D5 1 0.0685
end-to-end D5 1 0.169
hierarch D5 1 0.169
index D5 2 0.2408
ehi D5 5 0.8451
jointli D5 1 0.169
structur D5 3 0.3612
optim D5 1 0.169
model D5 1 0.0602
invert D5 1 0.169
file D5 1 0.169
ivf D5 1 0.169
style D5 1 0.169
tree D5 2 0.338
effici D5 2 0.2408
ensur D5 1 0.169
stabl D5 1 0.169
discret D5 1 0.169
tree-bas D5 1 0.169
introduc D5 1 0.1204
notion D5 1 0.169
path D5 1 0.169
captur D5 1 0.169
posit D5 1 0.169
query/docu D5 1 0.169
demonstr D5 1 0.0796
effect D5 1 0.0685
sever D5 1 0.169
benchmark D5 2 0.1908
includ D5 1 0.169
de-facto D5 1 0.169
ms D5 2 0.2408
marco D5 2 0.2408
dev D5 2 0.338
set D5 2 0.2408
trec D5 2 0.1592
dl19 D5 2 0.338
dataset D5 1 0.0685
exampl D5 1 0.169
comput D5 1 0.0796
budget D5 1 0.169
outperform D5 1 0.1204
state-of-the-art D5 1 0.1204
sota D5 1 0.169
0.6% D5 1 0.169
mrr@10 D5 1 0.169
4.2% D5 1 0.169
ndcg@10 D5 1 0.169
queri D6 2 0.0724
expans D6 4 0.2189
qe D6 4 0.3073
commonli D6 1 0.0768
use D6 3 0.0934
improv D6 1 0.0434
perform D6 1 0.0311
tradit D6 2 0.1095
inform D6 1 0.0547
retriev D6 1 0.0311
