term doc frequency weight
research D1 2 0.2408
success D1 1 0.169
apply D1 1 0.169
larg D1 1 0.0796
langu D1 1 0.0954
model D1 2 0.1204
(llms) D1 1 0.0954
chatgpt D1 1 0.169
rerank D1 5 0.8451
inform D1 1 0.1204
retriev D1 1 0.0685
context, D1 1 0.169
date, D1 1 0.169
work D1 2 0.338
most D1 1 0.169
built D1 1 0.169
propriet D1 1 0.169
hid D1 1 0.169
behind D1 2 0.338
opaqu D1 1 0.169
ap D1 1 0.1204
endpoints. D1 1 0.169
approach D1 1 0.0954
yield D1 1 0.1204
expery D1 2 0.1908
result D1 2 0.137
reproduc D1 1 0.169
non-deterministic, D1 1 0.169
threatening D1 1 0.169
verac D1 1 0.169
outcom D1 1 0.169
build D1 1 0.169
shaky D1 1 0.169
foundations. D1 1 0.169
address D1 1 0.0796
sign D1 1 0.0954
shortcoming, D1 1 0.169
pres D1 1 0.169
rankvicuna, D1 1 0.169
first D1 1 0.1204
ful D1 1 0.1204
open-source D1 1 0.169
llm D1 1 0.0954
cap D1 1 0.1204
perform D1 1 0.0796
high-quality D1 1 0.169
listw D1 1 0.1204
zero-shot D1 2 0.2408
setting. D1 1 0.169
trec D1 1 0.0796
2019 D1 1 0.169
2020 D1 1 0.169
deep D1 1 0.0954
learn D1 1 0.0796
track D1 1 0.169
show D1 1 0.1204
achiev D1 1 0.169
effect D1 2 0.137
comp D1 1 0.0796
gpt-3.5 D1 1 0.169
much D1 1 0.169
smal D1 1 0.169
7b D1 1 0.169
paramet D1 1 0.169
model, D1 1 0.169
although D1 1 0.169
remain D1 1 0.169
slight D1 1 0.169
gpt-4. D1 1 0.169
hop D1 1 0.169
provid D1 1 0.169
found D1 1 0.169
fut D1 1 0.169
modern D1 1 0.169
llms. D1 1 0.169
adv D2 1 0.1408
transformer-based D2 3 0.4225
architectures, D2 1 0.1408
context D2 2 0.2817
repres D2 3 0.301
text D2 4 0.5634
dat D2 1 0.1003
lev D2 1 0.1003
query D2 5 0.3316
docu D2 5 0.2854
low-dimensional D2 1 0.1408
dens D2 3 0.301
vect D2 5 0.7042
space. D2 1 0.1003
learn D2 2 0.1326
embed D2 1 0.0795
fix D2 1 0.1408
sizes, D2 1 0.1408
result D2 1 0.0571
deep D2 3 0.2386
understanding. D2 1 0.1408
study, D2 1 0.1408
design D2 1 0.1003
pipelin D2 1 0.1408
effect D2 1 0.0571
retriev D2 3 0.1712
larg D2 1 0.0663
search D2 1 0.1003
spac D2 1 0.1003
combin D2 1 0.1408
understand D2 1 0.1408
cap D2 1 0.1003
bert D2 2 0.2817
model D2 6 0.301
phrase D2 2 0.2817
embedding-based D2 2 0.2007
expand D2 2 0.2007
model. D2 1 0.1408
representations, D2 1 0.1408
fine-tuned D2 1 0.1408
sem D2 2 0.159
match D2 2 0.2007
sep D2 2 0.2817
encod D2 2 0.2007
query. D2 2 0.2007
bas D2 1 0.0795
sent D2 1 0.1408
(sbert) D2 1 0.1408
architecture, D2 1 0.1408
gen D2 1 0.1003
queries. D2 1 0.1003
study D2 1 0.1003
also D2 1 0.0663
address D2 1 0.0663
maxim D2 1 0.1408
tok D2 1 0.1003
leng D2 1 0.1408
limit D2 1 0.1408
summ D2 1 0.1408
lengthy D2 1 0.1408
documents. D2 2 0.2817
addition, D2 1 0.1408
improv D2 1 0.0795
clar D2 1 0.1408
complet D2 1 0.1408
short D2 1 0.1408
reduc D2 1 0.0795
gap, D2 1 0.1408
employed. D2 1 0.1408
index D2 1 0.1003
us D2 2 0.1141
elasticsearch D2 1 0.1408
engine, D2 1 0.1408
query-specific D2 1 0.1408
finally, D2 1 0.1408
bert-based D2 1 0.1408
cross-encoder D2 1 0.1408
re-rank D2 1 0.1408
relev D2 1 0.0663
record D2 1 0.1408
perform D2 1 0.0663
ful D2 1 0.1003
self-attention D2 1 0.1408
inputs, D2 1 0.1408
yield D2 1 0.1003
rich D2 1 0.1408
interact D2 1 0.1408
produc D2 2 0.2007
fin D2 1 0.1408
results. D2 2 0.2817
assess D2 1 0.1408
performance, D2 1 0.1408
expery D2 1 0.0795
conduc D2 1 0.1408
two D2 1 0.1003
well-known D2 1 0.1408
datasets, D2 1 0.1408
trec-cds-2014 D2 1 0.1408
ohsumed. D2 1 0.1408
comp D2 1 0.0663
analys D2 1 0.1408
carry D2 1 0.1408
out, D2 1 0.1408
clear D2 1 0.1408
demonst D2 1 0.0663
propos D2 1 0.0571
framework D2 1 0.1003
competit D2 1 0.1408
sci D3 4 0.6761
research, D3 1 0.1204
abl D3 1 0.169
effect D3 2 0.137
retriev D3 3 0.2055
relev D3 3 0.2388
docu D3 3 0.2055
bas D3 1 0.0954
complex, D3 2 0.338
multifacet D3 2 0.338
query D3 5 0.3979
critical. D3 1 0.169
ex D3 1 0.0954
evalu D3 2 0.1908
dataset D3 5 0.4771
task D3 1 0.169
limited, D3 1 0.169
prim D3 1 0.169
due D3 2 0.338
high D3 1 0.0954
cost D3 1 0.1204
effort D3 1 0.169
requir D3 2 0.338
annot D3 4 0.6761
resourc D3 1 0.169
repres D3 1 0.1204
complex D3 5 0.8451
queries. D3 1 0.1204
address D3 1 0.0796
this, D3 1 0.169
propos D3 1 0.0685
novel D3 1 0.1204
task, D3 1 0.169
us D3 2 0.137
multi-level D3 1 0.169
aspect-based D3 1 0.169
(doris-mae), D3 1 0.169
design D3 1 0.1204
handl D3 2 0.338
nat D3 1 0.169
research. D3 2 0.338
develop D3 1 0.169
benchmark D3 1 0.169
within D3 1 0.1204
field D3 1 0.169
comput D3 1 0.0796
science, D3 1 0.169
consist D3 1 0.1204
100 D3 2 0.338
human-authored D3 1 0.169
cases. D3 1 0.169
query, D3 1 0.169
assembl D3 1 0.169
collect D3 1 0.1204
produc D3 1 0.1204
scor D3 1 0.1204
rank D3 1 0.0954
them. D3 1 0.169
recogn D3 1 0.169
sign D3 1 0.0954
lab D3 1 0.169
expert D3 1 0.169
annotation, D3 1 0.169
also D3 1 0.0796
introduc D3 1 0.1204
anno-gpt, D3 1 0.169
scal D3 1 0.169
framework D3 1 0.1204
valid D3 1 0.169
perform D3 2 0.1592
larg D3 1 0.0796
langu D3 1 0.0954
model D3 1 0.0602
(llms) D3 1 0.0954
expert-level D3 1 0.169
tasks. D3 1 0.1204
llm D3 1 0.0954
doris-mae D3 2 0.338
result D3 1 0.0685
500x D3 1 0.169
reduc D3 1 0.0954
cost, D3 1 0.169
without D3 2 0.338
comprom D3 1 0.169
quality. D3 1 0.169
furthermore, D3 1 0.169
multi-tiered D3 1 0.169
structure D3 1 0.1204
queries, D3 1 0.169
extend D3 1 0.169
4,000 D3 1 0.169
sub-query D3 1 0.169
test D3 1 0.0954
cas D3 1 0.169
addit D3 1 0.1204
